transaction_id,customer_id,transaction_amount,transaction_timestamp,region,state,customer_category,account_balance
25,ffc4cfe7-9b58-4b13-bcd3-fb327488c205,4722.68,2023-06-04 20:50:24,Europe,Sweden,Medium-Profile,9244.57
26,7f0286f1-127d-41c2-9e35-6699df2d38ba,7217.57,2023-05-07 05:57:22,Africa,Kenya,Medium-Profile,7468.98
27,0b655992-c0f3-4b1a-a614-af1e78c5e6c7,5227.81,2023-04-25 07:32:17,Africa,South Africa,Medium-Profile,7196.68
28,d46afa34-5bdf-418b-a88b-88ffbde409e6,2017.99,2022-09-29 19:25:14,North America,USA,High-Profile,38292.04
29,06657ba2-a7db-47dc-93a0-6f5e6a6ccf94,5086.2,2022-11-27 03:25:32,South America,Mexico,Low-Profile,3022.09
30,19bd731b-e590-4938-80d7-add2d495f234,5398.87,2022-12-11 04:11:37,Europe,Ireland,High-Profile,16928.19
31,4ee24a68-d3af-42b2-b5bf-67ab9bfd10c1,2898.22,2022-09-20 03:41:58,South America,Brazil,Medium-Profile,8121.77
32,ebae1248-ae14-4d6e-9f12-58a73312b829,2957.04,2023-07-08 02:20:22,Europe,Germany,Medium-Profile,9416.4
33,43a65776-0388-48dd-a400-ec634131ca02,3244.13,2022-08-12 08:10:26,Africa,Ghana,High-Profile,38620.31
34,9c0ee5fc-01ed-41f8-be79-102d1af5d6d4,1101.41,2023-05-15 14:13:28,Europe,Sweden,Medium-Profile,5002.6
35,25fca620-cc2c-4fc7-b651-bd1c7d78c2e8,3526.34,2023-01-18 23:28:49,Africa,Kenya,Medium-Profile,7553.74
36,e0e43f1b-234f-4af3-a63e-ae972e524a3f,4174.69,2023-01-29 00:28:47,Europe,UK,Low-Profile,1347.06
37,b31e0cf3-886c-4e91-a43d-17964963fdf1,2442.01,2022-07-19 19:10:28,Africa,South Africa,High-Profile,46345.26
38,200034f6-149e-425b-bedf-8862cb93bdde,649.86,2023-04-06 13:39:03,South America,Brazil,Medium-Profile,8481.52
39,48c0b600-bc83-4866-a9f1-e05d7218f733,7122.99,2022-10-05 13:29:28,Europe,UK,High-Profile,34010.29
40,e7eaa84a-448c-4282-89c7-7f1ee57a89d0,9766.17,2023-07-13 18:25:03,North America,Canada,Low-Profile,1393.23
41,9a3dc071-050f-44bb-accf-2a89361a7d3a,9082.75,2023-01-28 21:48:44,Africa,South Africa,Medium-Profile,7654.67
42,d57fa695-4c4b-455b-8597-ec06ae44eb37,4478.38,2023-03-20 06:08:09,South America,Brazil,Low-Profile,3360.68
43,ca8c052b-fe3e-4f62-8479-15c6a23529d8,7616.43,2023-01-17 17:07:11,Africa,Nigeria,Low-Profile,4015.7
44,5d97486d-bd74-488d-8ecb-3df15f449a83,4703.54,2022-07-29 15:54:46,South America,Brazil,Medium-Profile,7678.87
45,4ea1a5e1-5018-4076-8b9f-5bdf3dafb130,903.81,2023-02-25 12:44:00,Europe,UK,Low-Profile,932.59
46,daad5026-1e48-451d-940b-587e52011e73,408.71,2022-11-27 11:23:05,North America,Canada,Low-Profile,1101.21
47,8724463c-ba68-445f-8192-24c271611ca8,7111.78,2022-08-26 04:38:23,Africa,Kenya,Low-Profile,871.83
48,430c90c2-6ae4-4203-af8e-d4efc4a91e26,6909.69,2023-06-09 17:54:43,North America,USA,Medium-Profile,9188.55
49,5430c285-2280-48ba-8a59-838fbe5c65cf,6757.23,2023-01-21 15:23:02,Europe,UK,Medium-Profile,9623.47
50,57f1d559-b737-44ac-8c58-cb0472ef3b3b,8773.52,2022-08-21 07:17:42,Africa,Kenya,Medium-Profile,9910.84
51,38b86171-6519-45e1-a0ce-6aaeb982b19b,5166.84,2022-08-27 15:01:56,Europe,Germany,High-Profile,18379.25
52,0b12971f-d7a0-4c89-bca3-428c349002ea,8972.26,2022-10-29 22:41:20,Europe,Ireland,Low-Profile,943.54
53,900f43cc-c66b-44cc-a257-73e9426bb838,2789.43,2022-07-21 04:46:16,Africa,Ghana,Low-Profile,4281.62
54,f843f23f-cae0-420f-a614-85b88ccfb3a4,4045.68,2022-10-28 00:45:39,Europe,Ireland,Low-Profile,4678.17
55,4382649e-616e-4b8a-a302-18ac2a1eef12,7853.62,2023-05-20 04:44:22,North America,Canada,Medium-Profile,5045.99
56,535caff0-cfa5-45c3-b958-c34bbc811f55,1015.61,2023-01-30 04:33:49,Africa,Nigeria,High-Profile,35552.89
57,b633ccd1-cb6f-4b7b-b4e5-a6954ae94889,3054.33,2022-10-16 02:39:17,South America,Brazil,Low-Profile,3259.81
58,1196e221-d7c0-41a8-a5a1-e5139adf5e0e,2243.47,2022-09-17 20:20:59,Europe,Ireland,High-Profile,54450.43
59,d4a3774b-4d43-4955-bd97-436edf7aaeb2,1789.05,2023-03-24 02:04:40,North America,Canada,Low-Profile,3604.7
60,c1d93f6e-e855-42d7-9434-07b93446fdf2,3081.3,2023-03-03 05:33:33,North America,Canada,Low-Profile,1838.58
61,76fe66b9-ab78-41ab-ae05-b8d10d8f557f,2652.76,2023-06-15 01:17:12,South America,Brazil,Medium-Profile,9894.46
62,0a77a00e-441a-41b2-ac6c-2630eb9c0af6,4867.93,2022-08-12 20:40:47,North America,USA,Low-Profile,3974.06
63,f3384501-be14-43e7-a87e-1adc74eb80a1,5026.87,2023-01-01 17:44:07,North America,USA,High-Profile,27571.87
64,d0548c4c-f476-4da0-b9f6-ddc7fe12ab20,7224.8,2023-03-14 02:40:23,Africa,Ghana,Low-Profile,3842.77
65,ab799fad-f3bc-4c5e-9d9b-68ff8d4619d6,436.99,2023-01-09 01:05:17,North America,Canada,Medium-Profile,9769.64
66,2b53bcd0-abf9-4952-aaa9-88c3c6112541,9148.73,2023-05-21 07:29:53,Africa,Ghana,High-Profile,95776.47
67,f5fef083-880b-4f6b-a3b8-2b2c4848b89d,3308.17,2023-06-05 03:03:03,South America,Mexico,Low-Profile,4818.1
68,bf059e3f-2ca8-40bd-a161-f23fcb847b68,8530.24,2022-08-24 20:10:46,Africa,Nigeria,High-Profile,27181.99
69,b3d9da4c-30d6-40c9-8f16-4648ddfaea27,2685.48,2023-01-27 05:48:27,Africa,Ghana,Medium-Profile,7784.01
70,75c7d17d-a8e5-4654-960f-4e2789b995da,9361.61,2022-10-27 15:02:54,South America,Mexico,Medium-Profile,5485.88
71,862a3061-561d-4a42-9f21-c54c8d7979a2,6150.46,2023-05-24 01:30:12,South America,Mexico,Medium-Profile,6270.82
72,e654558f-df09-4dc4-927d-256d43452ac4,2953.61,2023-07-01 02:13:37,South America,Mexico,High-Profile,22295.92
73,5c522aa8-72e5-473d-8519-b82637d1e7df,7089.4,2023-03-25 09:41:52,Africa,Nigeria,Medium-Profile,9046.81
74,55c8c10f-6b64-4e4e-8641-ffc13b683377,8101.32,2022-11-05 06:13:45,Europe,Ireland,High-Profile,17343.48
75,f13c3dfe-7f27-4252-a311-5a12ddb76b88,52.84,2022-08-09 19:45:27,North America,USA,High-Profile,16384.68
76,540286b7-c578-48b4-b1a9-56ded8957645,3968.44,2023-02-11 18:59:27,South America,Brazil,Low-Profile,1689.98
77,3a4b138b-733a-469a-9c46-05239cb036c7,3756.45,2023-01-12 01:29:19,South America,Brazil,Low-Profile,3360.13
78,f47cfade-2c2f-4bda-9c93-9d9ffb85c562,3282.2,2023-05-01 06:08:16,South America,Mexico,Medium-Profile,6432.71
79,629fd789-2134-4c36-a78e-f6034109194e,5908.74,2023-05-20 17:52:08,South America,Mexico,Medium-Profile,9113.0
80,f390c82a-2ed2-4778-b74f-7b6b6c65cf8b,3602.55,2023-01-23 00:56:52,North America,USA,High-Profile,84508.21
81,be25d68e-b6d8-4ccc-9e79-a1a23df33477,2716.16,2023-02-24 10:01:03,North America,USA,Low-Profile,426.74
82,4cd61fd6-bfa4-41ac-ad48-2c54e8ed5bc5,517.77,2023-02-25 01:52:49,North America,Canada,Low-Profile,3497.56
83,6eee7485-5206-47f4-a63f-8a9eb35ff2a5,1384.39,2022-10-07 17:06:42,North America,USA,Medium-Profile,7581.5
84,6940cb15-f10c-4002-8a6a-a7a4463f6405,3230.24,2023-01-16 20:39:38,Europe,Ireland,Low-Profile,2167.6
85,33cd7950-d5b8-4682-856a-8d7de9f35b6d,7440.68,2022-11-29 21:34:57,South America,Mexico,Medium-Profile,9813.24
86,15ba5e9b-68c1-4212-aea9-69b0cfd94743,8359.97,2023-01-28 03:00:44,Europe,Ireland,High-Profile,15237.42
87,ebebdf0e-9be7-44dd-a119-ec595ae35981,9152.22,2023-05-26 19:07:11,Africa,South Africa,Medium-Profile,5469.37
88,b1ac8fce-ec09-4104-9e9c-908ef5491a2e,1829.48,2022-08-20 01:17:01,Europe,UK,High-Profile,95937.88
89,9fed31f6-dd1c-4b36-a0e8-b7feb94c15f8,7379.23,2023-01-03 22:15:34,Africa,Nigeria,Medium-Profile,8650.2
90,c24086b9-ccae-4224-b3dc-52f0affb519d,478.11,2022-10-06 01:17:08,South America,Brazil,Low-Profile,3789.23
91,bc085b50-4a7f-47e7-8a9c-f767b43b9827,144.92,2022-11-29 05:35:51,South America,Brazil,High-Profile,18474.13
92,a299f0f1-df08-439f-82e9-c595594d1260,3114.82,2023-04-28 06:02:53,South America,Brazil,High-Profile,52675.64
93,f649dbb9-e77e-485d-9ec2-4884260608de,979.24,2022-10-23 21:47:24,North America,USA,Low-Profile,1731.52
94,e4f6551e-9334-4785-a96c-b6d69abe4710,4647.27,2022-12-28 04:06:50,Europe,Sweden,Medium-Profile,8079.25
95,2291046f-ec9e-4d2c-839a-69fffa7965ac,6351.3,2022-12-16 14:23:45,South America,Brazil,Low-Profile,76.52
96,57c20c92-60ba-462d-8072-f63f4dda40b0,9334.43,2022-09-27 16:02:30,North America,USA,High-Profile,71556.74
97,05a3474c-6d56-47dc-9aa8-b8fbd466788b,6158.9,2023-06-17 14:36:43,North America,USA,Medium-Profile,5132.56
98,878a1e35-31cd-4302-ac09-923b9ba79fb0,5858.17,2023-01-13 06:50:45,Africa,Ghana,Medium-Profile,7866.84
99,616452bc-6384-45ca-92f5-4a7e654e109a,1285.88,2022-10-25 02:31:02,Europe,Sweden,Low-Profile,4707.32
100,4acb35e0-dc19-4bd4-892a-baa7da648132,3861.64,2023-07-09 17:58:44,Europe,Ireland,Medium-Profile,6033.42
101,5fabe08f-ad4e-4c7a-b5e4-0a5ad1cb8cc4,2740.34,2022-12-08 17:39:13,North America,USA,Medium-Profile,5091.11
102,c493c7ba-b66a-4ae2-bee0-243d1f66c63f,945.34,2022-10-10 16:45:26,Africa,Kenya,High-Profile,69015.04
103,fa984df6-195f-42f6-86d7-577c7e9227bf,3854.58,2023-03-17 18:42:02,South America,Brazil,Medium-Profile,9072.34
104,09d37e56-c756-44b2-9cda-849f7f9ffea5,2819.27,2022-12-02 01:02:46,North America,Canada,High-Profile,41350.29
105,ddda9c21-99b4-49da-9b8b-b27a74694c5e,9366.54,2023-02-07 18:40:38,North America,Canada,High-Profile,82313.28
106,2e5dfb25-4f86-432c-a134-aee3e0ffe6f7,2821.06,2023-02-02 01:29:38,South America,Mexico,High-Profile,61166.83
107,70d7608f-07f5-4563-aa86-46fd50b883fe,5759.67,2022-10-29 01:13:17,Africa,Ghana,Medium-Profile,6250.08
108,a081687e-d67a-48d8-baa5-bd2e2d309630,5805.86,2022-11-05 05:50:38,Africa,South Africa,High-Profile,31473.72
109,dd675783-3c2d-4147-bdf5-24deb38f9f0d,6798.77,2022-09-10 09:51:23,Africa,Nigeria,Low-Profile,515.62
110,bc4c95cc-9834-4b73-b68e-ffdd6d99569a,9025.63,2022-10-24 00:21:45,South America,Brazil,High-Profile,38804.46
111,3db40e30-45a2-47e3-b8b7-fe8cafbd5626,8955.34,2023-04-28 03:24:32,Europe,Ireland,High-Profile,91484.38
112,f3be9f1e-f172-4a88-8c38-d4d5224e9c7a,913.78,2023-01-01 17:30:48,Africa,Ghana,Medium-Profile,8383.85
113,bf1f4ba6-cfd4-4d36-8294-b7677d40f8c5,4825.73,2023-01-19 19:19:04,South America,Mexico,High-Profile,18253.37
114,2118a5dc-1701-444a-a4de-02704a4a3c6a,6024.81,2023-01-23 16:13:27,North America,USA,High-Profile,77713.71
115,eb5fbc97-bd7d-4861-b02b-cc3db082bf55,7916.0,2022-12-04 02:28:40,Europe,Sweden,High-Profile,93783.62
116,bbe63961-59bc-4257-b725-7ac278935276,9742.51,2023-06-27 09:01:00,South America,Mexico,Medium-Profile,7207.65
117,6d8e214e-daab-433c-bd2d-4058286bb550,8877.15,2023-03-22 01:45:59,Africa,Kenya,Medium-Profile,9843.26
118,3287c3c7-3f0b-49e4-a371-8208f64f05e6,6880.61,2022-09-06 03:55:23,South America,Brazil,High-Profile,19101.04
119,19e12d11-c1cb-4ac7-ac0d-6dcf29008af6,841.98,2022-10-26 02:22:45,Europe,Ireland,Medium-Profile,6983.26
120,f8f94dab-db32-4569-bec3-9ec689434fd5,8919.08,2023-01-29 14:46:19,South America,Mexico,High-Profile,17635.39
121,3c274c6c-55bf-4523-95fb-7d11f1a08599,9866.41,2023-04-29 20:11:37,North America,USA,High-Profile,89232.4
122,e16109ab-8c3b-40ec-8008-f49a13ebb58a,2367.62,2022-09-12 13:19:29,Africa,Nigeria,High-Profile,77804.04
123,5bfddb6b-48d0-4d79-a4f8-ff444cbd6e0b,3763.22,2022-08-22 16:41:24,Africa,Kenya,High-Profile,44018.88
124,176f0fb0-934b-47aa-9b64-b307d50dcd05,7051.14,2023-02-02 18:53:18,South America,Brazil,Low-Profile,555.99
125,987823f7-b0b4-47fe-8db7-6f763d6cda69,4926.76,2022-09-14 19:20:09,Europe,Germany,Medium-Profile,5281.52
126,b9a52db3-cc3a-4d59-82f8-bc698cc9b78d,1189.06,2023-04-08 19:59:16,Europe,Sweden,High-Profile,76979.05
127,4b6aca44-8caa-4ecc-a3a9-bb96681a1611,6810.71,2023-01-27 10:39:27,North America,Canada,High-Profile,43738.35
128,5aa953bb-1520-4161-9d42-08c9469f3427,2857.84,2022-08-08 06:52:00,North America,USA,Medium-Profile,7181.68
129,ed1b35c0-fc6b-4dbe-8bde-14ad19961e2a,8021.29,2023-05-10 03:18:22,Europe,Ireland,High-Profile,13884.39
130,594abbbe-9c35-412a-ba3c-a28a531ba0e8,8911.54,2023-06-13 22:54:43,South America,Mexico,Low-Profile,4595.58
131,d7e4a138-f2a0-4483-a704-15998e6b6621,2530.65,2023-02-17 12:48:06,Africa,Ghana,High-Profile,57078.81
132,75873745-5c3f-4baa-925c-c9e0c7a87542,6294.36,2023-07-14 04:57:15,South America,Mexico,Low-Profile,4979.16
133,aa5b6e2b-6116-4d6a-b1a3-443ace044cde,6969.55,2022-09-04 15:04:14,Africa,Ghana,Low-Profile,227.23
134,80ba1619-62b3-4859-9484-809366010869,2810.35,2022-09-10 11:31:50,North America,Canada,Medium-Profile,7278.28
135,e3f31f79-8c7e-4f02-8b78-5ffe123635aa,6201.71,2023-03-03 20:08:07,North America,Canada,Medium-Profile,6941.34
136,4dda1fba-e9a0-4518-82fe-5498a1705dd6,2294.72,2023-04-17 19:29:34,North America,Canada,High-Profile,97695.53
137,c5c7404f-05ac-4241-9b85-e79e533ff71a,9862.12,2022-08-11 04:13:00,South America,Mexico,High-Profile,35178.72
138,ee86ae93-59dc-4881-8542-3b115bb1615f,4112.66,2022-08-27 07:45:14,Europe,Ireland,High-Profile,21986.66
139,655fa4b8-7f17-45f5-8110-a2395dc8b98f,762.93,2022-09-29 12:11:00,South America,Brazil,Low-Profile,3628.6
140,35990918-d364-4b8b-a5cc-7f02bb103f71,6134.54,2023-04-11 18:01:30,South America,Brazil,Medium-Profile,9330.32
141,2e269cd3-f90b-46cc-b5e2-fbf410edc098,453.14,2023-04-14 19:47:51,Africa,Ghana,High-Profile,79984.21
142,d54814e6-aea5-4bc4-b53e-87bac17f1a49,4804.22,2022-12-18 05:10:18,Africa,Nigeria,Low-Profile,2970.65
143,4519cd25-1c07-422e-9cbd-acc165406797,3809.53,2023-02-18 09:53:46,South America,Mexico,Low-Profile,2845.41
144,425bd7ba-a7e0-4d12-a229-04c27f007b44,636.05,2023-03-06 20:26:22,Europe,Sweden,Low-Profile,1367.04
145,5eccfdaa-160f-40ee-8ea5-75c2da7cd0f7,564.7,2022-11-30 21:17:54,South America,Brazil,High-Profile,58091.16
146,0c73ffa6-649d-4adf-ba52-4af10487419d,7499.36,2023-01-09 10:19:46,Africa,Nigeria,Low-Profile,3844.94
147,eb798b50-f864-4b4d-90c4-6ae682bc18cc,9447.71,2022-11-02 04:04:21,South America,Mexico,High-Profile,31697.63
148,b7dfee4e-6bb9-4477-b508-1fb699769088,2051.25,2022-11-23 11:17:48,Europe,Sweden,High-Profile,64555.72
149,d4d20e5f-8b20-4c28-ad78-f31af7bf48ec,2287.2,2022-11-05 01:03:02,Europe,Ireland,Medium-Profile,6790.81
150,c3bc94af-8d4a-45f8-afc3-1c090c5b84cc,1136.46,2022-09-05 06:55:54,South America,Brazil,Medium-Profile,7381.05
151,7153b2d6-b36d-4e00-8925-6b1cc9608dbd,8313.88,2022-12-14 11:57:07,South America,Brazil,High-Profile,59671.62
152,60485a59-bf65-4bfe-a766-4e73c4550261,5609.82,2022-08-21 19:54:52,South America,Mexico,High-Profile,63096.03
153,8c46e402-aa1f-486e-a1e3-f12ce1884f9f,4800.98,2022-12-11 02:11:18,Africa,Kenya,High-Profile,65827.86
154,8436cd14-0e4a-4552-82ba-c5f0c7782301,7041.09,2023-02-04 02:29:25,Africa,Kenya,Medium-Profile,8086.32
155,56ce5a6c-7465-4ac0-9338-3689b2430f9c,9804.65,2022-09-05 21:38:36,South America,Brazil,Medium-Profile,6961.22
156,6b1503bc-becf-49cf-9e41-9e1db444d4f8,4375.31,2022-07-27 15:08:53,Africa,South Africa,High-Profile,56259.05
157,cf1eb213-25fd-4449-a644-18057dc037c3,7836.75,2022-10-05 15:35:18,North America,Canada,Low-Profile,2618.01
158,c246cbec-f879-4cc3-b3ad-f1db72e46f3c,6976.72,2022-09-11 15:06:37,Europe,Ireland,Medium-Profile,9632.94
159,fdc0c311-7d47-4ecf-a3d1-b3800e7bb1ed,4921.67,2023-05-17 11:59:49,North America,Canada,High-Profile,98202.93
160,498e4c0c-122a-4ba6-81cd-8536fb5e2e11,4926.69,2023-02-23 13:16:12,Europe,Germany,Low-Profile,2898.25
161,252f535a-0f40-440e-808f-d49fb1741589,3416.29,2023-03-07 22:56:33,Africa,Nigeria,Low-Profile,640.23
162,fa52727c-8889-43d6-a805-4f0f805669d9,1519.88,2022-11-11 14:36:07,South America,Brazil,High-Profile,90710.96
163,a1a209ed-52ff-46e9-a701-a5a9850af6bc,4740.14,2022-10-17 18:02:47,Europe,Ireland,Medium-Profile,8009.68
164,7b6c5ccf-6e56-42b3-b1c0-e9e44deba5db,2239.27,2022-10-22 15:30:01,Europe,UK,Medium-Profile,6392.95
165,0f0f9903-1fff-41cf-99f1-56b871d6f70b,1770.93,2023-05-24 11:05:37,Europe,Germany,High-Profile,58098.12
166,1794e4ef-d42d-4f9e-9049-65eaf89a0460,3560.56,2022-11-14 22:03:56,South America,Brazil,High-Profile,55307.55
167,67e973ef-ea4d-4ad5-b4d2-0a5fbcb74ceb,6904.26,2022-08-18 14:18:06,Europe,Germany,High-Profile,53303.09
168,033efc78-a12b-4286-8e9e-eaa0f0ad1ff1,6878.16,2022-10-22 05:27:09,North America,Canada,Low-Profile,4604.36
169,c19bab95-2f35-4db3-b030-641142dc36ce,611.72,2023-03-15 12:07:59,South America,Brazil,High-Profile,17606.53
170,7145cd84-3161-4f9d-8bd9-b7a16f3a9303,5973.18,2022-11-26 02:40:05,North America,USA,Low-Profile,1852.36
171,9ee7a74c-ca66-40bc-98be-fe52f538f8d3,4845.75,2022-09-24 13:00:19,South America,Brazil,Low-Profile,2656.33
172,b30a3a2a-9ef9-4866-82c1-5ceb17400435,7205.44,2023-06-03 05:10:00,South America,Brazil,Low-Profile,1262.18
173,8b6e79cf-b68f-4cef-96ca-9d96ca541002,7133.78,2023-03-03 14:37:52,Africa,Kenya,Medium-Profile,8748.08
174,b4dfef9d-78c4-4ef7-9db9-369d40c1957a,305.69,2023-01-18 14:15:41,South America,Brazil,Medium-Profile,7663.09
175,b97cb080-a15e-4d3e-9834-e9bdf19ffad3,2425.46,2023-04-19 11:47:40,Europe,Sweden,High-Profile,26405.55
176,4eedb5bd-b9de-46df-bf91-858dbda41cd8,5640.09,2023-04-18 17:03:41,Europe,Sweden,Medium-Profile,6637.49
177,b2c99230-a323-47dd-bd1c-bb511ca151c2,1198.5,2022-08-16 04:54:53,Europe,UK,High-Profile,71119.21
178,6543d6e1-e201-4800-be31-038d10b54867,7891.92,2022-08-06 07:31:55,Europe,Germany,Low-Profile,2921.0
179,14af6261-7908-4311-9c09-3fdd1deee813,7368.49,2022-11-01 23:08:15,Africa,Ghana,High-Profile,60801.27
180,6134654a-78fa-408b-9422-c2a8079a142b,3788.35,2022-07-23 21:23:53,Europe,Germany,Medium-Profile,8037.78
181,ff83c037-b564-40e7-8086-2434c2ea2f38,2444.29,2023-06-01 14:45:01,Africa,Nigeria,Medium-Profile,8028.87
182,9cdee63f-8be6-48e3-9d89-0e4ae1350d97,2373.03,2022-12-05 04:35:10,South America,Mexico,Medium-Profile,6826.78
183,17d287ba-caef-41f1-beb0-e6dac4485f23,4878.61,2022-12-30 07:06:54,South America,Mexico,Medium-Profile,6425.48
184,affdc243-5dcf-4ca6-b478-5af06967f620,1734.56,2022-11-17 02:28:28,Africa,Nigeria,Low-Profile,258.18
185,44c80263-a5c8-42b0-a736-8dd0e1b9d9f9,183.41,2023-03-14 12:00:43,Europe,Ireland,Low-Profile,4483.05
186,651ce1da-8e19-4616-94a0-288a01cca2fb,5760.41,2023-03-06 21:59:11,Africa,Ghana,Low-Profile,4085.36
187,45522ac1-1e7e-4082-99cc-8668eab69c07,2579.77,2023-01-05 02:28:39,North America,Canada,Low-Profile,4104.31
188,8416dc7d-9482-4393-b04f-f4cf5cdb3c80,7184.85,2023-05-07 01:05:52,Africa,Ghana,Medium-Profile,6399.9
189,091a9ab4-9cc5-45bc-b740-65d7ceb2ce2a,7695.16,2022-09-13 20:44:14,South America,Brazil,Medium-Profile,8554.76
190,2ecaf609-a05e-4241-a75d-749d8b5467e5,1995.87,2023-04-07 20:26:18,North America,USA,Low-Profile,3536.15
191,020ab58e-a761-4995-aae8-3e8148317eda,7678.03,2022-10-02 01:45:46,South America,Mexico,Medium-Profile,5771.81
192,a1c05866-1988-410f-b8db-b798938b76c7,4811.92,2023-01-20 05:37:14,Africa,Kenya,High-Profile,43230.74
193,18ca469c-7c32-467e-a7b2-609cb2fb4f21,4543.23,2022-07-19 20:30:46,Europe,Sweden,Medium-Profile,9949.8
194,6b8ac68f-22c6-4c6e-a4d4-15a375e10be8,3224.22,2023-03-28 00:20:32,South America,Brazil,High-Profile,22494.23
195,bb41daa5-f0c0-4171-96cd-27412c5fc9fa,28.11,2022-12-01 00:49:49,Europe,Sweden,Low-Profile,2357.88
196,09279e46-7905-4d50-a36f-bdf70a42d076,4119.0,2023-02-14 00:49:41,South America,Mexico,High-Profile,86565.47
197,5a41f24c-408b-458e-965f-3bc4eb48013a,7460.0,2023-07-02 23:56:25,South America,Brazil,High-Profile,75778.07
198,ab87ba8c-fa67-4eb2-bf7a-c0ab521734ee,9383.47,2022-12-25 07:31:25,North America,USA,Low-Profile,4632.25
199,cf849360-2298-4122-83c8-b40edf8f4747,7216.24,2022-12-01 15:19:00,North America,Canada,High-Profile,22579.51
200,4e025844-d82c-48ee-82cb-92afc119ab7a,7952.88,2023-04-26 02:43:17,South America,Brazil,Medium-Profile,9125.66
201,7a313870-e87a-4901-bf39-4e9383748901,1864.86,2023-03-29 21:02:47,Africa,Kenya,Medium-Profile,7615.33
202,b0a74b14-f256-458b-8854-175510c744ca,3588.95,2023-06-21 21:01:47,Europe,Germany,High-Profile,71468.39
203,3c658f3a-8e18-4aef-a8e0-d8f84afc71f5,4520.03,2023-02-03 06:00:17,North America,Canada,Low-Profile,3120.51
204,bdde4db8-9422-46b9-82d2-049ced0547fb,5398.27,2023-03-11 07:42:58,Africa,Kenya,High-Profile,30899.14
205,6cf7d811-5e8d-49fb-a743-97c2e1ea00b0,8995.85,2023-04-26 17:17:21,Africa,South Africa,Medium-Profile,5333.1
206,09ae46cb-cc99-429a-92f5-774b336ff870,2291.02,2023-06-13 21:02:13,Africa,Kenya,Medium-Profile,9699.16
207,a2fa1e49-f680-45e7-a839-1f81150fbf36,6277.45,2023-02-12 20:30:20,North America,Canada,Low-Profile,4393.15
